index,alpha,SS_res,SS_tot,R_squared,
0,0.01,11.03278916,2.327083333,-3.74103742,
1,0.02,10.87325542,2.327083333,-3.672482185,
2,0.03,10.71584321,2.327083333,-3.604838622,
3,0.04,10.56055254,2.327083333,-3.538106731,
4,0.05,10.4073834,2.327083333,-3.472286511,
5,0.06,10.2563358,2.327083333,-3.407377963,
6,0.07,10.10740974,2.327083333,-3.343381088,
7,0.08,9.960605213,2.327083333,-3.280295884,
8,0.09,9.815922222,2.327083333,-3.218122352,
9,0.1,9.673360768,2.327083333,-3.156860491,
10,0.11,9.53292085,2.327083333,-3.096510303,
11,0.12,9.394602469,2.327083333,-3.037071786,
12,0.13,9.258405624,2.327083333,-2.978544941,
13,0.14,9.124330316,2.327083333,-2.920929769,
14,0.15,8.992376543,2.327083333,-2.864226267,
15,0.16,8.862544307,2.327083333,-2.808434438,
16,0.17,8.734833608,2.327083333,-2.753554281,
17,0.18,8.609244444,2.327083333,-2.699585795,
18,0.19,8.485776818,2.327083333,-2.646528982,
19,0.2,8.364430727,2.327083333,-2.59438384,
20,0.21,8.245206173,2.327083333,-2.54315037,
21,0.22,8.128103155,2.327083333,-2.492828572,
22,0.23,8.013121674,2.327083333,-2.443418445,
23,0.24,7.900261728,2.327083333,-2.394919991,
24,0.25,7.78952332,2.327083333,-2.347333208,
25,0.26,7.680906447,2.327083333,-2.300658097,
26,0.27,7.574411111,2.327083333,-2.254894658,
27,0.28,7.470037311,2.327083333,-2.210042891,
28,0.29,7.367785048,2.327083333,-2.166102796,
29,0.3,7.267654321,2.327083333,-2.123074372,
30,0.31,7.16964513,2.327083333,-2.080957621,
31,0.32,7.073757476,2.327083333,-2.039752541,
32,0.33,6.979991358,2.327083333,-1.999459133,
33,0.34,6.888346776,2.327083333,-1.960077397,
34,0.35,6.798823731,2.327083333,-1.921607333,
35,0.36,6.711422222,2.327083333,-1.884048941,
36,0.37,6.62614225,2.327083333,-1.84740222,
37,0.38,6.542983813,2.327083333,-1.811667171,
38,0.39,6.461946914,2.327083333,-1.776843795,
39,0.4,6.38303155,2.327083333,-1.74293209,
40,0.41,6.306237723,2.327083333,-1.709932056,
41,0.42,6.231565432,2.327083333,-1.677843695,
42,0.43,6.159014678,2.327083333,-1.646667006,
43,0.44,6.08858546,2.327083333,-1.616401988,
44,0.45,6.020277778,2.327083333,-1.587048642,
45,0.46,5.954091632,2.327083333,-1.558606968,
46,0.47,5.890027023,2.327083333,-1.531076966,
47,0.48,5.828083951,2.327083333,-1.504458636,
48,0.49,5.768262414,2.327083333,-1.478751977,
49,0.5,5.710562414,2.327083333,-1.453956991,
50,0.51,5.654983951,2.327083333,-1.430073676,
51,0.52,5.601527023,2.327083333,-1.407102033,
52,0.53,5.550191632,2.327083333,-1.385042062,
53,0.54,5.500977778,2.327083333,-1.363893763,
54,0.55,5.45388546,2.327083333,-1.343657136,
55,0.56,5.408914678,2.327083333,-1.32433218,
56,0.57,5.366065432,2.327083333,-1.305918897,
57,0.58,5.325337723,2.327083333,-1.288417285,
58,0.59,5.28673155,2.327083333,-1.271827345,
59,0.6,5.250246914,2.327083333,-1.256149077,
60,0.61,5.215883813,2.327083333,-1.24138248,
61,0.62,5.18364225,2.327083333,-1.227527556,
62,0.63,5.153522222,2.327083333,-1.214584303,
63,0.64,5.125523731,2.327083333,-1.202552722,
64,0.65,5.099646776,2.327083333,-1.191432813,
65,0.66,5.075891358,2.327083333,-1.181224576,
66,0.67,5.054257476,2.327083333,-1.171928011,
67,0.68,5.03474513,2.327083333,-1.163543118,
68,0.69,5.017354321,2.327083333,-1.156069896,
69,0.7,5.002085048,2.327083333,-1.149508347,
70,0.71,4.988937311,2.327083333,-1.143858469,
71,0.72,4.977911111,2.327083333,-1.139120263,
72,0.73,4.969006447,2.327083333,-1.135293728,
73,0.74,4.96222332,2.327083333,-1.132378866,
74,0.75,4.957561728,2.327083333,-1.130375676,
75,0.76,4.955021674,2.327083333,-1.129284157,
76,0.77,4.954603155,2.327083333,-1.12910431,alpha value in signed suspicion model fit that generated max R squared
77,0.78,4.956306173,2.327083333,-1.129836135,
78,0.79,4.960130727,2.327083333,-1.131479632,
79,0.8,4.966076818,2.327083333,-1.134034801,
80,0.81,4.974144444,2.327083333,-1.137501641,
81,0.82,4.984333608,2.327083333,-1.141880154,
82,0.83,4.996644307,2.327083333,-1.147170338,
83,0.84,5.011076543,2.327083333,-1.153372194,
84,0.85,5.027630316,2.327083333,-1.160485722,
85,0.86,5.046305624,2.327083333,-1.168510922,
86,0.87,5.067102469,2.327083333,-1.177447793,
87,0.88,5.09002085,2.327083333,-1.187296337,
88,0.89,5.115060768,2.327083333,-1.198056552,
89,0.9,5.142222222,2.327083333,-1.209728439,
90,0.91,5.171505213,2.327083333,-1.222311998,
91,0.92,5.202909739,2.327083333,-1.235807229,
92,0.93,5.236435802,2.327083333,-1.250214132,
93,0.94,5.272083402,2.327083333,-1.265532706,
94,0.95,5.309852538,2.327083333,-1.281762953,
95,0.96,5.34974321,2.327083333,-1.298904871,
96,0.97,5.391755418,2.327083333,-1.316958461,
97,0.98,5.435889163,2.327083333,-1.335923723,
98,0.99,5.482144444,2.327083333,-1.355800657,
99,1,5.530521262,2.327083333,-1.376589262,
